Supplier_ID,Order_Date,Delivery_Date,Lead_Time,Order_Quantity,Received_Quantity,Order_Status,Payment_Status,Order_Completion_Date,Ingredient_Name
105,7/11/2023,8/3/2023,23,1,1,Delivered,Paid,8/3/2023,Dairy
103,11/9/2023,11/30/2023,21,96,96,Delivered,Paid,11/30/2023,Proteins
107,8/5/2023,8/28/2023,23,34,34,Delivered,Paid,8/28/2023,Vegetables
110,8/29/2023,9/8/2023,10,68,0,Cancelled,Cancelled,Cancelled ,Tomatoes
102,10/24/2023,11/8/2023,15,3,3,Delivered,Paid,11/8/2023,Dairy
110,4/10/2023,4/12/2023,2,63,63,Delivered,Paid,4/12/2023,Proteins
110,10/29/2023,11/2/2023,4,39,39,Delivered,Paid,11/2/2023,Proteins
109,5/17/2023,6/13/2023,27,5,5,Delivered,Paid,6/13/2023,Proteins
103,6/10/2023,7/5/2023,25,92,92,Delivered,Paid,7/5/2023,Fruits
102,8/15/2023,8/18/2023,3,36,36,Delivered,Paid,8/18/2023,Tomatoes
110,2/16/2023,3/13/2023,25,45,0,Cancelled,Cancelled,Cancelled ,Palm Oil
105,1/5/2023,1/23/2023,18,30,0,Cancelled,Cancelled,Cancelled ,Proteins
103,2/11/2023,2/27/2023,16,52,0,Cancelled,Cancelled,Cancelled ,Vegetables
107,5/6/2023,5/13/2023,7,29,29,Delivered,Paid,5/13/2023,Palm Oil
102,11/9/2023,11/20/2023,11,12,12,Delivered,Paid,11/20/2023,Palm Oil
102,4/14/2023,5/14/2023,30,85,85,Delivered,Paid,5/14/2023,Palm Oil
102,11/11/2023,12/4/2023,23,2,2,Delivered,Paid,12/4/2023,Palm Oil
102,2/26/2023,3/24/2023,26,89,0,Cancelled,Cancelled,Cancelled ,Palm Oil
101,9/5/2023,10/1/2023,26,84,84,Delivered,Paid,10/1/2023,Tomatoes
104,6/17/2023,7/13/2023,26,57,57,Delivered,Paid,7/13/2023,Vegetables
106,3/29/2023,3/30/2023,1,18,18,Delivered,Paid,3/30/2023,Fruits
102,4/8/2023,4/18/2023,10,77,77,Delivered,Paid,4/18/2023,Palm Oil
101,11/20/2023,11/29/2023,9,51,51,Delivered,Paid,11/29/2023,Proteins
110,6/5/2023,6/22/2023,17,58,58,Delivered,Paid,6/22/2023,Fruits
103,1/10/2023,1/17/2023,7,33,33,Delivered,Paid,1/17/2023,Dairy
104,3/16/2023,3/20/2023,4,25,25,Delivered,Paid,3/20/2023,Dairy
106,11/30/2023,12/27/2023,27,23,23,Delivered,Paid,12/27/2023,Dairy
106,9/19/2023,10/18/2023,29,19,19,Delivered,Paid,10/18/2023,Dairy
110,2/28/2023,3/15/2023,15,44,0,Cancelled,Cancelled,Cancelled ,Palm Oil
106,6/13/2023,6/20/2023,7,58,58,Delivered,Paid,6/20/2023,Proteins
103,9/14/2023,10/5/2023,21,56,56,Delivered,Paid,10/5/2023,Palm Oil
104,4/20/2023,5/8/2023,18,99,99,Delivered,Paid,5/8/2023,Dairy
102,9/14/2023,9/20/2023,6,52,52,Delivered,Paid,9/20/2023,Palm Oil
104,4/23/2023,5/18/2023,25,56,56,Delivered,Paid,5/18/2023,Vegetables
108,12/23/2023,1/3/2024,11,95,95,Delivered,Paid,1/3/2024,Tomatoes
103,11/28/2023,12/9/2023,11,31,31,Delivered,Paid,12/9/2023,Tomatoes
109,11/21/2023,11/28/2023,7,24,24,Delivered,Paid,11/28/2023,Dairy
101,11/21/2023,12/3/2023,12,18,18,Delivered,Paid,12/3/2023,Proteins
107,8/24/2023,8/29/2023,5,32,32,Delivered,Paid,8/29/2023,Proteins
106,3/14/2023,3/21/2023,7,59,59,Delivered,Paid,3/21/2023,Dairy
105,8/11/2023,9/5/2023,25,27,0,Cancelled,Cancelled,Cancelled ,Dairy
109,4/1/2023,5/1/2023,30,38,38,Delivered,Paid,5/1/2023,Palm Oil
101,1/27/2023,2/18/2023,22,98,98,Delivered,Paid,2/18/2023,Proteins
105,11/12/2023,11/29/2023,17,65,65,Delivered,Paid,11/29/2023,Dairy
107,12/2/2023,12/6/2023,4,25,25,Delivered,Paid,12/6/2023,Dairy
105,6/1/2023,6/13/2023,12,49,49,Delivered,Paid,6/13/2023,Tomatoes
101,7/16/2023,8/5/2023,20,11,11,Delivered,Paid,8/5/2023,Proteins
101,2/3/2023,2/12/2023,9,12,12,Delivered,Paid,2/12/2023,Proteins
110,9/16/2023,10/7/2023,21,17,17,Delivered,Paid,10/7/2023,Tomatoes
105,9/7/2023,9/13/2023,6,35,35,Delivered,Paid,9/13/2023,Proteins
102,1/27/2023,2/19/2023,23,45,45,Delivered,Paid,2/19/2023,Proteins
110,2/22/2023,3/12/2023,18,51,51,Delivered,Paid,3/12/2023,Palm Oil
106,3/11/2023,3/12/2023,1,83,83,Delivered,Paid,3/12/2023,Palm Oil
106,2/2/2023,2/14/2023,12,25,25,Delivered,Paid,2/14/2023,Vegetables
106,1/10/2023,2/6/2023,27,59,59,Delivered,Paid,2/6/2023,Palm Oil
104,6/12/2023,7/7/2023,25,29,29,Delivered,Paid,7/7/2023,Fruits
